x,y
18.745401188473625,156.68935063072163
43.25254425257279,157.7859033903196
65.57248367068684,156.77010484276747
86.5590685126572,155.88702533757055
103.11925491708158,156.206358711006
119.6792001204436,159.60778768032725
135.26003624212558,157.06333718405793
158.92179769987493,158.64269861048075
179.93294781730702,160.03417270854857
202.01367359526748,161.90394828629366
217.2195185382255,155.39312139841098
241.91861705984542,162.99410398909043
265.24304346784965,161.27900389490907
282.3664345746324,155.81759031948872
299.18468424670345,163.73578624106779
316.0187293452378,164.20872400531812
334.06115177483315,155.61077959854865
354.30871609115553,157.76877648147203
373.62816627757667,163.0620127979306
391.5404576795571,162.4825969038366
412.6589866267809,156.8452101935638
429.05392523330136,157.0934932333671
446.97537171865355,158.70472102791382
465.63899015159046,159.8452298519102
485.19968999376084,161.18254771530297
508.051449607691,158.68913639569772
525.0481874292745,159.6253471613315
545.1905318134106,162.47470938133756
566.1146775020311,155.36683202890597
581.5791816292311,157.5243694434402
602.6546301482455,162.13349585884552
619.3598713851184,163.952068376872
635.0103873149711,160.11677442115666
659.4992426875044,160.32113485265316
684.1555630182501,156.07172011339776
707.2395364994147,159.47412366823454
725.2856741911485,160.32617266455023
741.2623953312124,157.4247050363473
763.1047255963339,157.6924323094938
782.5062505337299,158.77284163104622
798.7266328821777,155.20071197777727
818.6784019832904,158.2207916558318
834.0222871944426,157.11448006996545
858.1154912152303,158.27497352177915
875.7032910312305,156.19762131819252
897.3285138747704,163.90527280739894
915.4456246356644,160.9359245355405
935.6463048474426,161.7910231914449
956.1134076408754,162.89171238607338
972.9619521961306,159.98442198929058
997.6577984737762,155.86920288087424
1020.4091267073874,160.37106541818548
1044.8041161230292,160.8684111802088
1068.7523896273058,162.4543947418433
1089.7313894154165,159.3165954622968
1113.9501317656477,156.27580302795565
1129.835056786167,157.83775905798726
1146.7948854103583,158.63082296398636
1162.2471582994638,161.45917241331603
1180.5004616070964,160.70778304668912
1199.3872345039913,158.56096725897845
1217.1007248217302,164.8651524879298
1240.3880999132496,161.05774819356887
1258.9556331801855,157.37226791735995
1276.7649782770593,156.01782472620403
1297.1919391086417,156.52859139184332
1313.6011813583893,157.45957728384508
1336.6231511659298,156.60681373259555
1352.3686576027276,156.86567024051305
1377.2375269687327,157.85095168693846
1399.9599746616993,156.73373595294754
1416.947131477041,163.96765424626426
1432.002352648277,155.8023374566164
1455.1569669328255,160.24511389570256
1477.2255403713018,159.10396826989663
1499.5156120517117,164.82378616908608
1522.2283155185712,156.12038902168052
1537.968762035912,158.9785559904574
1556.5534193213548,164.6947043327537
1572.712109916606,163.6550712589398
1596.343144175362,163.1707207094928
1617.5761254436377,157.57902827044938
1635.8851056921642,156.70887587390067
1651.5206891950245,161.6864321992443
1669.6305124121811,164.29375989127587
1687.8823456324485,160.5676289301393
1710.178407415829,160.716126894699
1731.5539821293812,157.79979093660285
1755.4261095551444,162.69492933191935
1775.1482588067638,156.87043748557522
1791.344201266147,158.23679236404243
1813.4766491383768,159.25436438616416
1836.0844996245457,160.07610378684456
1856.6972716002408,157.4240973241508
1879.4069433997863,156.14836824739203
1899.3448993634302,161.10620042441633
